type_label,post_id,reply_id,comment_id,subject,content,author_id,author_nickName,public_time,follow_count,vote_count
2,1003718359,1013673985,,,<p>同学你好：目前的现状的确是化肥使用过量，导致了一系列生态环境问题。目前我国提出并启动了减肥减药相关研究，通过有机肥替代化肥、改善施肥技术等措施实现（如肥水一体化）；可通过滴灌来提高肥料利用率，水培等无土栽培目前主要在蔬菜上使用，可达到节肥环保的目的。</p>,1026388810,潘志勇mooc1493188660889,1503371931868,1,1
3,1003718359,1013673985,1004147875,,非常感谢,1027121213,caroltuzi,1503491217919,,0
1,1003721341,,,为什么以色列的果蔬种植能够即高科技含量又有价格竞争力呢？,老师您好，我想请教您，以色列的果蔬种植业现代化科技含量高，但产品还能有价格竞争力，多数都出口，相比下我国的现代农业成本很高价格也高。这是为什么呢？要是在中国实行以色列的种植方式能有价格竞争力吗？非常感谢！,1027121213,caroltuzi,1502703997905,1,0
2,1003721341,1013642292,,,<p>以色列是精准农业应用的典范，因为当地气候比较干燥，在水肥管理非常精确。以色列在园艺作物品种培育、栽培管理都有很成熟的技术。在我国的沙漠气候区域可以尝试引进，但成本太高。另我国气候多样性高，生态复杂，情况比较多，不能一味模仿。我个人认为中国采取因地制宜的策略是最好的，利用大自然给我们带来的气候、土壤等外界条件，生产栽培中注意适地适栽，标准化统一，加强管理和防控。<br ></p>,1024388211,徐强mooc1487817230610,1502975752133,1,1
3,1003721341,1013642292,1004133294,,明白了，非常感谢老师的耐心解答！,1027121213,caroltuzi,1503025461638,,0
1,1003719283,,,蔬菜都可以水培吗？流动水会浪费营养液吗？,老师您好，我想请教您，是否所有的蔬菜都可以水培方式种植呢？水培要流动水，要加营养液，这样会浪费营养液吗？谢谢！,1027121213,caroltuzi,1502702816984,2,0
2,1003719283,1013763057,,,<p>可以循环，通过消毒后利用，可节水、节肥</p>,1023616596,mooc1484271797590,1504070803064,0,0
2,1003719283,1013652172,,,<p>理论上所有的植物都可以水培，但是难易程度不同，目前应用较多的以叶菜为主。水培所用的营养液含有植物需要的营养（不同物种营养液配方有差异），植株需要采用一定的方式固定。同时要采用人工充氧 或营养液流动的方式使营养液保持一定的含氧量。 营养液是可以循环利用的，但是在使用一段时间后营养被植物吸收一部分，浓度发生变化，需要补充和调整营养液以满足植物的需求，该方法技术要求比较高，良好的营养液管理技术可以节省肥料。<br ></p>,1026369408,杨静mooc1493111107830,1503051113751,1,2
3,1003719283,1013652172,1004169386,,感谢老师的详细解答！,1027121213,caroltuzi,1503653952242,,0
1,1003719232,,,无性繁殖与育苗的马铃薯例证——晚疫病提法是否有出入？,第七章 &nbsp; 无解,1023616596,mooc1484271797590,1502676629229,3,0
2,1003719232,1013708944,,,<p>第七章的阻值培养一节，例证之一马铃薯，采取组培茎尖脱去病毒病可能，而课件里提到晚疫病，有些模糊</p>,1023616596,mooc1484271797590,1503654558727,0,0
2,1003719232,1013695049,,,<p>该是针对病毒病的，进行组培一脱毒</p><p><br ></p>,1023616596,mooc1484271797590,1503530287714,0,0
2,1003719232,1013674927,,,<p></p>同学提的问题是？,1026388810,潘志勇mooc1493188660889,1503372248818,0,0
1,1003722189,,,有关生草法的疑问,请问一下：为什么说生草法可以增加害虫的天敌种群数量，减少农药的投入和农药对环境和果实的污染呢？我不理解，请各位解答，谢谢！,5319743,gududebeiyan,1502618767293,3,1
2,1003722189,1013681219,,,"<span style=""-webkit-text-size-adjust: auto; background-color: rgba(255, 255, 255, 0);""  >是一个食物链的关系，当一个主栽的园艺植物在一个区域内作为优势植物出现时，当其它的植被缺少或没有的情况下，就会形成以该植物为生的食物链体系，部分种类会适应这种变化，所以常常在种植过程中会出现某此虫害的较多发生。与此同时，天敌也会因为害虫的增加而进入这个生态系统，但同样的，由于天敌的生活习性对栖息地的要求不一样 ，使得在生物单一的园地很难立起稳定的群落。而生草栽培后由于草的加和 ，一方面给于并不需求优势种群的一些其它生物有了良好的栖息地，并且给予部分其它生物以食物，同时会增加土壤生物及以草类为食生物的种类，这就有利于部分天敌的增加，对于某种天敌来说，并非只是以我们所常见的害虫为食，各类生物的多样性会有利于整个生态系统的稳定</span>",1027945546,铜仁学院13张楷,1503388681518,0,0
2,1003722189,1013675904,,,<p>以上这位同学回答的很到位！</p>,1026388810,潘志勇mooc1493188660889,1503372371155,0,0
2,1003722189,1013616503,,,<p>这是一个食物链的关系，当一个主栽的园艺植物在一个区域内作为优势植物出现时，当其它的植被缺少或没有的情况下，就会形成以该植物为生的食物链体系，部分种类会适应这种变化，所以常常在种植过程中会出现某此虫害的较多发生。与此同时，天敌也会因为害虫的增加而进入这个生态系统，但同样的，由于天敌的生活习性对栖息地的要求不一样 ，使得在生物单一的园地很难立起稳定的群落。而生草栽培后由于草的加和 ，一方面给于并不需求优势种群的一些其它生物有了良好的栖息地，并且给予部分其它生物以食物，同时会增加土壤生物及以草类为食生物的种类，这就有利于部分天敌的增加，对于某种天敌来说，并非只是以我们所常见的害虫为食，各类生物的多样性会有利于整个生态系统的稳定，也有利于人类有限干预的有效性。同时也有利于投入品带来的对环境的影响有良好的缓冲作用。（个人观点）</p><p><br ></p><p><br ></p>,1019495260,悠果农艺,1502854718220,0,2
1,1003714037,,,老师，第七章没有文档耶,,1018275413,忺忺,1502377748164,3,0
2,1003714037,1013597813,,,<p>知道啦！</p>,1016503265,一点青云,1502697069962,0,0
2,1003714037,1013576610,,,<p>已经上传成功了额，请网上查看</p>,1026388810,潘志勇mooc1493188660889,1502503309977,0,0
2,1003714037,1013580540,,,<p>可能是没上传成功，我尽快补上，莫慌哦</p><p><br ></p><p><br ></p>,1026388810,潘志勇mooc1493188660889,1502499752462,0,0
1,1003714026,,,园艺专业方向,老师，您好！如果对设计感兴趣，而又想从事园艺方面的工作，可以选择什么方向发展呢？,1028219494,溺堑,1502372694927,5,0
2,1003714026,1013767625,,,其实什么都可以，一般就业都专业不太对口,1014993011,m13923849554163com,1504106452438,0,0
2,1003714026,1013599723,,,<p>知道啦！</p>,1016503265,一点青云,1502697097141,0,0
2,1003714026,1013585010,,,另外工作的话，可以往家庭园艺发展，兼具美学，设计，植物搭配，栽培管理,1026419087,何燕红hyh,1502523582519,0,0
2,1003714026,1013580532,,,园林专业最适合你,1026419087,何燕红hyh,1502499402215,0,0
2,1003714026,1013577512,,,<p>园林植物与景观设计<br ></p>,1024388211,徐强mooc1487817230610,1502499136417,0,0
1,1003710735,,,月季,"你好老师，我家的月季花的花瓣很少，为什么呢？
",1024405440,13055011584,1502335749663,4,0
2,1003710735,1013665178,,,<p>可以改良一下品种</p>,1014993011,m13923849554163com,1503211023887,0,0
2,1003710735,1013613523,,,感谢指点,1024405440,13055011584,1502850472629,0,0
2,1003710735,1013598762,,,<p>不像月季！</p>,1016503265,一点青云,1502697132557,0,0
2,1003710735,1013580536,,,看你的图片，应该是月月粉，这个品种在夏季耐热性差，花瓣数量减少，花期也短了，春天它才最灿烂,1026419087,何燕红hyh,1502499575009,0,2
1,1003709636,,,花卉是否都可以水培呢？,老师您好，我想请教您，现在蔬菜都可以水培了，花卉是否也可以都水培呢？特别是室内观赏植物？我把常青藤，绿萝，红凤梨都插在水里了，只是自来水，它们都长得不错。谢谢！,1027121213,caroltuzi,1502269670553,3,0
2,1003709636,1013596793,,,<p>可以！</p>,1016503265,一点青云,1502697161565,0,0
2,1003709636,1013581500,,,完全可以哦,1026419087,何燕红hyh,1502499618622,0,1
2,1003709636,1013555733,,,<p>可以的吧</p>,1028857346,mooc1502163257071,1502272170991,0,0
1,1003712354,,,有园艺、农艺方面的书籍、网站、资料推荐吗？,本课程学习至今，发现园艺一块涉及广泛，想在课余多增进了解。老师、同学们有好的资源推荐吗？大家可否共享？农业方面的也行，比如植保无人机之类的新兴行业。谢谢。,1015806680,PP花落,1502100634359,4,0
2,1003712354,1013704920,,,<p>园艺、农艺单纯从研究对象上区分两者有交叉的，如马铃薯，菜用玉米等。深究其根本园艺又跨农林两大类，蔬菜、果树、花卉、茶叶。。。。。。涉及的太多，有不同农、林那么界限分明，学了园艺概论还是不那么清晰。。。。。。。。。。。。。。。。。。。恳请高明师友多多指点！！！</p>,1023616596,mooc1484271797590,1503655435123,1,0
3,1003712354,1013704920,1004175020,,恩，有同感,1015806680,PP花落,1503660409179,,0
2,1003712354,1013673294,,,<p>农业部官网有个技术支持 &nbsp; 有很多农业方面的资源 &nbsp; &nbsp;值得看看</p>,7802506,饶佳斌菌,1503317313400,1,0
3,1003712354,1013673294,1004147007,,好的，谢谢,1015806680,PP花落,1503371418835,,0
2,1003712354,1013598764,,,<p>网上内容很丰富！</p>,1016503265,一点青云,1502697191309,0,0
2,1003712354,1013533788,,,"<p>自己先来。</p><ol class="" list-paddingleft-2""  style=""list-style-type: decimal;""  ><li><p>BBC出品的纪录片“园艺世界”、“小花园大梦想”，B站上有资源；</p></li><li><p>台湾林国承老师的书籍《野趣盆栽》；</p></li><li><p>最近，对园艺疗法很感兴趣，国内清华大学李树华有所研究；</p><p></p><p></p></li></ol><p><br ></p><p>以上，遇到好的再跟帖。</p><p><br ></p>",1015806680,PP花落,1502101062253,0,4
1,1003711240,,,第四讲 花卉知识测验,在第四讲测验中判断题：按照观赏部位分类将花卉分为观花、观果、观叶、观茎、观根和观芳香等六大类。应该是错吧？因为老师具体讲授内容中按照部分分为5大类，不含观根。为什么判断题中这道题又是正确的？求解。谢谢！,5319743,gududebeiyan,1502019517636,2,0
2,1003711240,1013596795,,,<p>哦，学习啦！</p>,1016503265,一点青云,1502697224185,0,0
2,1003711240,1013581503,,,包含观根的，在视频中以锦屏藤和榕树为例进行了讲解哦,1026419087,何燕红hyh,1502499741701,0,1
1,1003711222,,,请问古代诗歌中描绘的兰花大多是哪个种类？,我很喜欢兰花，之前没像过自己喜欢的是什么兰花，学习了这一部分内容，让我知道了很多，我喜欢应该是春兰，还有请问老师春兰都有哪些颜色呀？,1028404703,mooc_angela,1502007516589,2,0
2,1003711222,1013648120,,,<p>兰花品种繁多！美不胜收！</p>,1016503265,一点青云,1503039823259,0,0
2,1003711222,1013579513,,,春兰的颜色是比较素雅的，浅绿至白绿，偶有一些唇部彩化的，不会像洋兰颜色丰富。感兴趣的话可以看一下兰花品种图鉴,1026419087,何燕红hyh,1502499928433,0,0
1,1003711216,,,关于沙漠玫瑰,老师好，我去查了沙漠玫瑰，它为什么属于观叶植物呢？https://baike.baidu.com/item/%E6%B2%99%E6%BC%A0%E7%8E%AB%E7%91%B0/522310?fr=aladdin#2,1028404703,mooc_angela,1502005626203,1,1
2,1003711216,1013579521,,,室内观叶植物这个分类是从综合分类出发的。室内观叶植物在室内能长期种植并正常生长，沙漠玫瑰是夹竹桃科花卉，原产地肯尼亚等地，天气炎热，冬季气温高。将其引种到中国，尤其是长江流域，冬季不能露地越冬，必须温室中栽培，所以结合栽培习性放在室内观叶植物是可以的,1026419087,何燕红hyh,1502500418449,0,0
1,1003711194,,,果树实生苗嫁接,老师你好。果树通过种子繁殖繁殖得到新的树苗，一般都经过嫁接得到嫁接苗。这种嫁接苗可以保存母本优势，并且提前结果。我有些疑问，没有嫁接过的实生苗会有什么性状?能不能遗传母本优势?实生苗能结果吗？,1028049247,你隔壁的陌生人,1501994222623,2,0
2,1003711194,1013613631,,,<p>雌雄异株的实生苗种植有可能得到雄株，这是不结果的。实生苗种植在商业化规模种植中不多，多用在种质种植，但实生种植对于提升一个种的种质或增加变异意义重大。<br ></p>,1019495260,悠果农艺,1502855046855,0,0
2,1003711194,1013527357,,,<p>实生苗能结果，但会变异，可能变的更好，会在育种中使用培育新品种。但实生苗结果的周期很长，如柑橘要5-8年。一般商业生产中，使用嫁接繁殖，2-3年可以结果，并保持母本品种的优良性状，可快速取得经济效益。<br ></p>,1024388211,徐强mooc1487817230610,1502024062360,0,1
1,1003697910,,,成绩公布我看不到？,只有我看不到自己公布的成绩吗？电脑手机都不行,1027679129,风音无,1501739877958,0,0
1,1003699504,,,西番莲,西番莲就是我们说的百香果吗？,1022794987,丿沉默,1501641182996,3,0
2,1003699504,1013764624,,,是的，西番莲感觉更神秘些,1014993011,m13923849554163com,1504106394208,0,0
2,1003699504,1013594882,,,<p>是的！</p>,1016503265,一点青云,1502697247029,0,0
2,1003699504,1013525357,,,<p>对。百香果，也叫热情果。passion fruit.<br ></p>,1024388211,徐强mooc1487817230610,1502024093629,0,2
1,1003698121,,,上传照片,讨论题中有需要上传图片，但是不知道为什么我这边怎么也上传不了，格式、大小均符合，同时也重新安装了浏览器还是不行，如果知道请回复，谢谢老师、同学们。,5319743,gududebeiyan,1501413161788,2,0
2,1003698121,1013647093,,,<p>以jpg格式上传试试！</p>,1016503265,一点青云,1503039732388,0,0
2,1003698121,1013478342,,,<p>网站Bug，就是传不上。</p><p>你可以在讨论区找到那个讨论题，这里回复是可以上传图片的。</p><p>或者手机APP也可以。</p>,1018165568,UNIX10,1501591989627,0,0
1,1003695097,,,上传图片,亲们，为什么我的图片没办法上传啊，什么原因，之前传过一次是可以的啊？谢谢！,5319743,gududebeiyan,1501400967061,3,0
2,1003695097,1013645170,,,<p>以jpg格式上传试试！</p>,1016503265,一点青云,1503039765223,0,0
2,1003695097,1013479351,,,<p>不是你们的错。</p><p>网站Bug，就是传不上。</p><p>你可以在讨论区找到那个讨论题，这里回复是可以上传图片的。</p><p>或者手机APP也可以。</p>,1018165568,UNIX10,1501592028410,1,1
3,1003695097,1013479351,1004063885,,<p>太感谢啦，真的解决了我的问题，谢谢，么么！<br ></p>,5319743,gududebeiyan,1501643426756,,0
2,1003695097,1013459262,,,<p>而且我图片格式和大小均符合要求啊，请知道的告知一下，谢谢！</p>,5319743,gududebeiyan,1501401099516,0,0
1,1003696109,,,单元测试成绩,为什么第三讲单元测试成绩没有刷新  我做了三次 都是按第一次的成绩？？？ 不是取最高分吗,1023676334,我是青年但不文艺,1501400498083,2,0
2,1003696109,1013463586,,,是的，2次机会。,1026369408,杨静mooc1493111107830,1501455465726,0,0
2,1003696109,1013461183,,,是不是总共只能做两次啊？？？？ d(ŐдŐ๑)     T_T,1023676334,我是青年但不文艺,1501400668385,0,0
1,1003697081,,,老师好，能不能提供第五讲和第六讲的课件啊？？,老师好，能不能提供第五讲和第六讲的课件啊？？谢谢老师了！！,1918998,housiyuan2005,1501398034740,0,0
1,1003696088,,,转基因果树栽培最多的是什么,没找到答案,3140931,zz449,1501384802455,3,0
2,1003696088,1013764623,,,不看好转基因,1014993011,m13923849554163com,1504106350557,0,0
2,1003696088,1013630029,,,<p>是番木瓜，我插肩而过的满分······</p>,1834651,陶灼,1502876916529,0,0
2,1003696088,1013463712,,,<p>课件中举的唯一的果树转基因例子就是答案了。</p><p>在百度中搜索“转基因果树”，百度图片的前5张都是这类果树</p><p>转基因果树至今在生产中的应用没有同学们想的那么多</p>,1026335359,小萌5,1501467697241,0,0
1,1003696053,,,继承二倍体亲本所有染色体的4倍体后代不会有性状分离了是吗？,老师您好，我想请问，能否人工地让两个二倍体亲本杂交，让他们的F1代成为继承双亲所有染色体的4倍体呢？这样的4倍体F1和之后的所有后代就都会稳定地继承杂交亲本的所有性状，不会有性状分离的问题了吧？,1027121213,caroltuzi,1501330628703,1,0
2,1003696053,1013460761,,,<p>生产中的杂交育种大部分都是2个二倍体之间的杂交，F1代也是二倍体，因为亲本杂交获得的后代是染色体数减半的配子（即卵细胞和精细胞）结合形成二倍的受精卵发育而来。比如，人类是二倍体，人类的有性后代当然也是二倍体，怎么会成为四倍体呢？<br ></p><p>双亲都是二倍体，后代是四倍体，也是可以实现的，通过细胞融合技术，具体介绍见“6.7 倍性育种”的“原生质体融合获得异源多倍体”2X+2X=4X。当然，这种情况下，理论上后代就不会性状分离了。当然，细胞融合过程中发生的体细胞变异还是有的。</p><p>性状分离对于育种来说是好事，理论上，后代变异多越，从中选择优良株系的可能性就越大。</p>,1026335359,小萌5,1501468371296,1,13,1003696053,1013460761,1004062068,,非常感谢老师！,1027121213,caroltuzi,1501508596018,,0
1,1003696003,,,视频中说单宁有水溶性和不溶性的，单宁不是水溶性的吗？,视频中说未成熟果实中水溶性单宁含量居多，那成熟后水溶性单宁转变成什么？,1027541887,HZAU2017304220307,1501248917928,2,0
2,1003696003,1013581436,,,单宁有水溶性的和不溶性的，水溶性的有涩味，不溶性的没涩味,6944953,ndmali,1502471431186,0,0
2,1003696003,1013485206,,,<p>这个问题提得挺好的，单宁是植物中的一类多酚类物质，其分类方法很多。果实成熟过程中单宁分子的结构变化比较复杂，一般认为，单宁分子相互缩合后形成聚合物则由水溶性变成不溶性，溶解度下降，涩味消失，有关果实中单宁聚合脱涩的机制仍处于研究当中。</p>,1026417928,食不我待,1501657424149,1,1
3,1003696003,1013485206,1004070351,,谢谢老师,1027541887,HZAU2017304220307,1501735185489,,0
1,1003683199,,,野菊配图有误,野菊的配图，应该是一年蓬，是配错了吗？,1015806680,PP花落,1501232527769,2,0
2,1003683199,1013489012,,,祝愿本课程越来越好～,1015806680,PP花落,1501714531208,0,0
2,1003683199,1013488598,,,<p>火眼金睛啊，确实错了！课件中会改过来的，不好意思了！欢迎大家多挑错，我们才有希望把课件越做越好。</p>,1026335359,小萌5,1501681953103,0,1
1,1003686175,,,第二讲单元测验显示未测验？,当时明明第二讲的单元测验和作业都是同一天做的，先做的测验，后做的作业，当时已经确认两个都是提交成功了的，为什么今天突然间看到我的单元测验显示的是没有做，我的单元作业是完成了的，怎么回事啊？？,1020135808,峨眉派小道姑,1501205997924,2,0
2,1003686175,1013458932,,,<p>后面怎么补了？？</p>,1020135808,峨眉派小道姑,1501384691403,0,0
2,1003686175,1013454971,,,<p>后来补的吧，我都没看到，补的最好发个通告。</p>,3140931,zz449,1501384287160,0,0
1,1003682200,,,请教老师是否能用基因检测选出纯显性基因的F1代个体育种后代呢,老师您好，我想请教您，优势杂交不能留种是因为杂交后代会有隐性基因造成性状分离的原因吗？如果对F1代进行基因检测，挑选出纯显性基因无隐性基因的个体进行再配对或自交产生纯显性基因的F2代，这样的F2代的后代是否就都是显性基因了，就可以留种了呢？非常感谢！,1027121213,caroltuzi,1501158166505,1,0
2,1003682200,1013461792,,,<p>你说的对，优势杂交不能留种就是因为杂交后代会有隐性基因造成性状分离。</p><p>你说的策略，即选出纯显性F1个体以避免F2代性状分离，理论上可以；但实际上，很难操作，比如，有可能出现纯显性致死。</p>,1026335359,小萌5,1501468697863,1,1
3,1003682200,1013461792,1004056985,,非常感谢老师！,1027121213,caroltuzi,1501508565607,,0
1,1003682189,,,茄碱也存在于未成熟的番茄中吗？,第五讲天然有害成分小节中，课件上茄碱的来源是秋茄、发芽或日晒变绿后的土豆中，但避免方法部分，老师讲到避免食用未成熟的番茄；也就是说茄碱还有一个来源是——未成熟的番茄吗？,1834651,陶灼,1501147721682,1,0
2,1003682189,1013484206,,,<p>是的，未成熟的番茄中也含有茄碱，这个在课件中有讲到。</p>,1026417928,食不我待,1501657682757,1,0
3,1003682189,1013484206,1004070476,,<p>好的，谢谢老师。</p>,1834651,陶灼,1501749796777,,0
1,1003684139,,,请教我国果蔬采后损害率高的主要原因,老师您好，我在课程中看到中国果蔬产品的采后损耗率高达25-30%，远高于发达国家，十分可惜。我想请教您，这其中的主要原因是什么呢？是因为我国缺少国外先进实用的技术和方法呢？还是因为我国从业者对新技术方法的认知不够普及？或者是资本和成本的问题？非常感谢！,1027121213,caroltuzi,1501125779842,1,0
2,1003684139,1013486192,,,<p>这个问题提得比较好，我国果蔬产品采后损耗率高的原因有很多，主要原因我想有以下几个方面：一是果蔬物流体系不够健全，尤其是冷链物流不畅，很多偏远地区交通不畅，物流落后，导致很多成熟的农产品无法及时运送到市场。二是果蔬采后保鲜技术落后，果蔬采收后，尤其是在夏季高温季节，果蔬没有进行充分的预冷及低温贮藏，导致严重的采后损耗，当然这也跟普通农户无法承担冷库的高额成本有关，过于个体农户小规模的种植模式已不适用于现代农业的发展。三是部分农产品的产量过高，上市过于集中，供大于求，导致卖果难，果实滞销产生的损耗。四是我国果蔬加工技术还较为落后，果蔬加工比例相较于发达国家还很低，果蔬成品的消费还是以鲜食为主，这就限制了果蔬产品的长期保存，因此，大力发展果蔬加工产业，可以有效地缓解这一问题。<br ></p>,1026417928,食不我待,1501658608372,1,1
3,1003684139,1013486192,1004089019,,非常感谢老师的耐心指导！,1027121213,caroltuzi,1502076332052,,0
1,1003684026,,,怎么查看自己的单元分数？,一点开测试与作业 那里的测试 &nbsp;就显示 时间已过无法提交作业但是我是想查看自己的分数啊求助各位同学,1019985087,mooc1473925461945,1501044380848,1,0
2,1003684026,1013467338,,,<p>还没有公布成绩呢。。。<br ></p>,1024388211,徐强mooc1487817230610,1501485429291,0,0

1,1003675537,,,如果前几次课都没听没做作业是不是要挂科了啊,现在还比较凌乱，这是已经开课的意思吗？那暑假上了课下学期是不是就没这个课了？求解答！,1028025220,HZAU2015311201108李雨涵,1500964174146,3,0
2,1003675537,1013469238,,,<p>平时作业成绩在一定范围内的，把后面的作业准时完成。<br ></p>,1024388211,徐强mooc1487817230610,1501485472898,0,0
2,1003675537,1013433276,,,<p>同问 有没有同学可以解答下啊。。。</p>,1019985087,mooc1473925461945,1501043716086,0,0
2,1003675537,1013422209,,,<p>课程是有时间周期的，进度就是按照网上的，<br ></p>,1014769062,Full_stack,1500980987922,0,0
1,1003679541,,,关于农药残留,视频中讲长期接触农药，会造成农药在体内不断蓄积。人体自行不能排除部分农药这种有害物质吗。如果能，能排除多少。如果不能，为什么活着需要哪些辅助手段？,1016099538,深知梦,1500882208581,2,0
2,1003679541,1013558036,,,<p>现在这种生物累积性农药都被禁掉了。典型如DDT<br ></p>,1019495260,悠果农艺,1502269126764,0,0
2,1003679541,1013483337,,,<p>农药的种类很多，不同农药的毒性及其在人体中的蓄积性和分解能力都不一样，目前国家已经禁用了很多毒性强的农药，比如六六六等剧毒农业。现实生活中，普通人很难长期接触农药，按照良好农业规范生产的农产品中的农药残留是不会超标的。<br ></p>,1026417928,食不我待,1501659057317,0,0
